ID,Artist,Title,Medium,Description,Details,Size,Category,Owner,Distributed,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK
FS120,NA,Ceramic Vase,NA,"14"" tall",NA,NA,Fine Art,NA,,Portland,NA,Completed,NA,NA,NA,NA,120,NA
FS123,Newy Fagan,Fused Glass Horse,NA,NA,NA,NA,Fine Art,Cathy,2021,Portland,NA,Completed,NA,$150,NA,NA,123,NA
FS124,NA,Glazed Metal Salamander,NA,"5"" tall, 19"" long, 14"" wide",NA,NA,Fine Art,Bill,2021,Portland,NA,Completed,NA,NA,NA,NA,124,NA
FS138,NA,Unidentified Print or Acrylic,NA,NA,NA,NA,Fine Art,Kevin,2021,Portland,NA,Completed,NA,NA,NA,NA,138,NA
FS148,"Swanson, Ray",Can we be friends,NA,36x40 print 05/50,NA,NA,Fine Art,Cathy,2025,Scottsdale,NA,Divide,NA,NA,NA,NA,148,NA
FS149,"Dill, Laddie John",Pair Cement Glass Oxides,NA,12x24” each; Can be hung horizontally or vertically,NA,NA,Fine Art,Bill,2025,Scottsdale,NA,Divide,NA,NA,NA,NA,149,NA
FS150,NA,Glazed metal vessel,NA,"50” tall by 17” wide, not attached to base.  Found a receipt from Scottsdale Art show for ""relic vessel copper"".  Purchased for $2800",NA,NA,Fine Art,Bill,2025,Scottsdale,NA,Divide,NA,"$1,400.00",NA,NA,150,NA
FS151,Lotta,Acrylic Block,NA,"12 acrylic (not glass) blocks, 8x8 each.  Mount with two nails each.",NA,NA,Fine Art,Kevin,2025,Scottsdale,NA,Divide,NA,NA,NA,NA,151,NA
FS152,Victor Martinez,Mia,NA,"Commissioned Painting, 19x16",NA,NA,Fine Art,NA,,Scottsdale,NA,Completed,NA,NA,NA,NA,152,NA
FS153,"Pettit, Bryce",Mice and Cheese,NA,"Seven bronze mice, plus little metal houses and a wood block of cheese.  Some of these may belong to Cathy.",NA,NA,Art/collectibles,Kevin,2025,Scottsdale,NA,Divide,NA,"$1,000.00",NA,NA,153,NA
FS156,"Mariniom, B",Fishie,NA,"Watercolor print 227/400 by Marriom or Warnism it’s hard to tell
Size = 12x12",NA,NA,Fine Art,NA,,Portland,NA,Completed,NA,NA,NA,1989,156,NA
FS162,NA,Musical Instrument,NA,"Some sort of decorator piece, non-functional",NA,NA,Chachkies,NA,,Scottsdale,NA,Keep,NA,NA,NA,NA,162,NA
FS174,Frank Goitia,Boy in Chair,NA,"Painting hanging in bedroom at Mt Hood, originated in Boise Art Musuem.  https://downtownboise.org/do/frank-goitia-art-exhibition",NA,NA,Fine Art,NA,,Portland,NA,Completed,NA,NA,NA,NA,174,NA
FS175,Damian Charette,Native American Chiefs,NA,NA,NA,NA,Fine Art,Jean,2025,Scottsdale,NA,Divide,NA,"$1,200.00",NA,NA,175,NA
FS37,"Budnick, George",Georgia O'Keefe,NA,"Photograph, Portrait; acquired from Bishop Gallery (#59)",NA,NA,Fine Art,Chris,2025,Scottsdale,NA,Divide,NA,$600.00,NA,2002,37,NA
